AB01,AB02,CD03,AB03,EF06,AB04
637.4420685,16,492.4765717,718.3698669,-97.63106689,607.0372742
637.9746857,16,492.6764343,718.6848633,-97.80708008,607.8322571
636.8933838,16,492.7840698,717.1648499,-97.51557617,606.5760681
639.5458038,16,492.7994446,720.5398621,-98.4120636,609.4034607
639.5832642,16,492.8732391,720.2998291,-98.1205719,609.2722107
635.2259186,16,492.8855377,715.5748657,-96.92157593,605.2972595
611.0517273,1,493.2145569,686.7248596,-89.96409302,581.8147644
578.8399963,1,493.7249847,648.1448364,-80.98807983,550.6598755
547.3883881,1,494.1370392,610.0148376,-72.25407715,519.4861145
532.900473,16,494.2692535,591.6548706,-68.68458557,504.5798584
539.6559723,16,494.0816772,599.1298706,-69.54807434,510.939856
542.9346863,16,493.9771332,604.464856,-75.18008118,514.4836609
539.4150848,16,493.5128143,606.4348511,-97.99406128,511.3786072
537.688739,16,493.2576019,603.669873,-96.84459839,509.2373901
554.1599396,16,492.8240326,623.014856,-100.7275879,524.6723999
569.7719971,1,492.525769,640.0998657,-98.45607605,539.6873657
569.7157898,1,492.8055878,638.9848511,-93.07709045,539.8898621
600.0111481,1,492.3812439,674.6598572,-101.0520813,568.6260559
630.9809906,1,491.7661835,713.7748413,-110.3690796,599.9460449
626.3720428,16,491.3971802,709.7998596,-108.6750732,596.0460388
628.2375702,16,491.046637,711.2998718,-102.9880798,598.2022522
612.1223389,16,491.5355438,689.8548523,-92.05958557,582.3734985
617.3254547,1,491.5048004,696.2548462,-93.90758667,587.5635437
590.346286,1,492.1567596,664.6698486,-86.51008606,562.1648071
551.2880646,1,492.5534393,617.7098389,-76.36807251,524.0423767
530.349765,16,492.9993073,591.2648621,-70.58208313,502.6336243
551.7644684,1,493.1438293,614.2398376,-76.01056824,522.0248413
593.228891,1,492.507312,664.159845,-86.88408203,562.6860901
617.6894653,16,492.2582458,694.9448425,-93.3355835,587.4735413
628.3660339,16,492.7533051,706.6548523,-97.020578,597.8609985
626.6209686,16,494.0417145,698.6698364,-63.36610107,596.6573181
619.4532806,16,495.8774689,685.399823,-44.81467285,589.7872192
